#.t	Rural_baseflow
#d	m/d
40	0.000810393
40.0416667	0.00082351
40.0833333	0.000820183
40.125	0.000816464
40.1666667	0.000817424
40.2083333	0.000813014
40.25	0.000810703
40.2916667	0.00080336
40.3333333	0.000805212
40.375	0.000799574
40.4166667	0.000786845
40.4583333	0.000793684
40.5	0.000791032
40.5416667	0.000789961
40.5833333	0.000795284
40.625	0.00079379
40.6666667	0.000791083
40.7083333	0.00078412
40.75	0.000789231
40.7916667	0.000794234
40.8333333	0.000788228
40.875	0.000798646
40.9166667	0.000796533
40.9583333	0.000794214
41	0.000804331
41.0416667	0.00080121
41.0833333	0.000797371
41.125	0.000800517
41.1666667	0.000791041
41.2083333	0.000781041
41.25	0.000784182
41.2916667	0.000769366
41.3333333	0.000762944
41.375	0.000756193
41.4166667	0.000749965
41.4583333	0.000749896
41.5	0.000742169
41.5416667	0.000760462
41.5833333	0.000754922
41.625	0.000768499
41.6666667	0.0007615
41.7083333	0.000757996
41.75	0.000765001
41.7916667	0.000761943
41.8333333	0.000759958
41.875	0.00076325
41.9166667	0.000761649
41.9583333	0.000772595
42	0.000768632
42.0416667	0.000784176
42.0833333	0.000780809
42.125	0.000785209
42.1666667	0.000782324
42.2083333	0.000773624
42.25	0.000775713
42.2916667	0.000764464
42.3333333	0.000760228
42.375	0.000752223
42.4166667	0.000752922
42.4583333	0.000754971
42.5	0.000756952
42.5416667	0.000758307
42.5833333	0.000754256
42.625	0.000753919
42.6666667	0.000748714
42.7083333	0.000751403
42.75	0.000753195
42.7916667	0.000750744
42.8333333	0.000744559
42.875	0.000752757
42.9166667	0.000746825
42.9583333	0.000755856
43	0.000758051
43.0416667	0.000762629
43.0833333	0.000760165
43.125	0.000772221
43.1666667	0.000763412
43.2083333	0.000772955
43.25	0.000768047
43.2916667	0.00077729
43.3333333	0.000766836
43.375	0.000774292
43.4166667	0.000765887
43.4583333	0.000774353
43.5	0.000772041
43.5416667	0.000779189
43.5833333	0.000789521
43.625	0.000793952
43.6666667	0.000812114
43.7083333	0.000819996
43.75	0.000833323
43.7916667	0.00084054
43.8333333	0.000857388
43.875	0.000873014
43.9166667	0.000882588
43.9583333	0.00088361
44	0.000879757
44.0416667	0.000886188
44.0833333	0.000899672
44.125	0.000905493
44.1666667	0.000914091
44.2083333	0.000929591
44.25	0.000931177
44.2916667	0.000941174
44.3333333	0.000946209
44.375	0.000946175
44.4166667	0.000955293
44.4583333	0.000969601
44.5	0.000980377
44.5416667	0.000986816
44.5833333	0.000990739
44.625	0.000997194
44.6666667	0.000899815
44.7083333	0.000899995
44.75	0.000919088
44.7916667	0.000938334
44.8333333	0.000992339
44.875	0.001054846
44.9166667	0.001083401
44.9583333	0.001108645
45	0.00113405
45.0416667	0.001131592
45.0833333	0.001135072
45.125	0.001149608
45.1666667	0.001161089
45.2083333	0.001168518
45.25	0.00118018
45.2916667	0.001191957
45.3333333	0.001196345
45.375	0.001203406
45.4166667	0.001217329
45.4583333	0.00121869
45.5	0.00122327
45.5416667	0.001232825
45.5833333	0.001228686
45.625	0.00123517
45.6666667	0.001241592
45.7083333	0.00124299
45.75	0.001239505
45.7916667	0.001255799
45.8333333	0.001284407
45.875	0.001311621
45.9166667	0.001352182
45.9583333	0.001364804
46	0.001383766
46.0416667	0.001379269
46.0833333	0.001388795
46.125	0.001395046
46.1666667	0.00139422
46.2083333	0.001395871
46.25	0.001403992
46.2916667	0.001392806
46.3333333	0.001385153
46.375	0.001375473
46.4166667	0.00135547
46.4583333	0.001364822
46.5	0.001437648
46.5416667	0.001428335
46.5833333	0.001411266
46.625	0.001402458
46.6666667	0.001403319
46.7083333	0.001398947
46.75	0.001410423
46.7916667	0.001421705
46.8333333	0.001409321
46.875	0.00140923
46.9166667	0.001402463
46.9583333	0.00140449
47	0.001399532
47.0416667	0.001340986
47.0833333	0.001340503
47.125	0.001329726
47.1666667	0.001316143
47.2083333	0.0013118
47.25	0.001304719
47.2916667	0.001297586
47.3333333	0.001298211
47.375	0.001294168
47.4166667	0.001375681
47.4583333	0.00130081
47.5	0.00124631
47.5416667	0.001270525
47.5833333	0.001291924
47.625	0.001313463
47.6666667	0.001353551
47.7083333	0.001351398
