#.t	.in_6
#d	W/m2
39.125	0.0
39.1666667	0.0
39.2083333	0.0
39.25	0.0
39.2916667	11.11111
39.3333333	36.11111
39.375	52.77778
39.4166667	88.88889
39.4583333	102.77778
39.5	122.22222
39.5416667	77.77778
39.5833333	27.77778
39.625	52.77778
39.6666667	2.77778
39.7083333	0.0
39.75	0.0
39.7916667	0.0
39.8333333	0.0
39.875	0.0
39.9166667	0.0
39.9583333	0.0
40.0	0.0
40.0416667	0.0
40.0833333	0.0
40.125	0.0
40.1666667	0.0
40.2083333	0.0
40.25	0.0
40.2916667	55.55556
40.3333333	241.66667
40.375	386.11111
40.4166667	452.77778
40.4583333	508.33333
40.5	461.11111
40.5416667	363.88889
40.5833333	241.66667
40.625	108.33333
40.6666667	16.66667
40.7083333	0.0
40.75	0.0
40.7916667	0.0
40.8333333	0.0
40.875	0.0
40.9166667	0.0
40.9583333	0.0
41.0	0.0
41.0416667	0.0
41.0833333	0.0
41.125	0.0
41.1666667	0.0
41.2083333	0.0
41.25	0.0
41.2916667	38.88889
41.3333333	158.33333
41.375	277.77778
41.4166667	366.66667
41.4583333	413.88889
41.5	375.0
41.5416667	261.11111
41.5833333	225.0
41.625	100.0
41.6666667	8.33333
41.7083333	0.0
41.75	0.0
41.7916667	0.0
41.8333333	0.0
41.875	0.0
41.9166667	0.0
41.9583333	0.0
42.0	0.0
42.0416667	0.0
42.0833333	0.0
42.125	0.0
42.1666667	0.0
42.2083333	0.0
42.25	0.0
42.2916667	13.88889
42.3333333	52.77778
42.375	66.66667
42.4166667	144.44444
42.4583333	205.55556
42.5	219.44444
42.5416667	147.22222
42.5833333	100.0
42.625	30.55556
42.6666667	5.55556
42.7083333	0.0
42.75	0.0
42.7916667	0.0
42.8333333	0.0
42.875	0.0
42.9166667	0.0
42.9583333	0.0
43.0	0.0
43.0416667	0.0
43.0833333	0.0
43.125	0.0
43.1666667	0.0
43.2083333	0.0
43.25	0.0
43.2916667	8.33333
43.3333333	86.11111
43.375	169.44444
43.4166667	166.66667
43.4583333	166.66667
43.5	133.33333
43.5416667	47.22222
43.5833333	33.33333
43.625	33.33333
43.6666667	2.77778
43.7083333	0.0
43.75	0.0
43.7916667	0.0
43.8333333	0.0
43.875	0.0
43.9166667	0.0
43.9583333	0.0
44.0	0.0
44.0416667	0.0
44.0833333	0.0
44.125	0.0
44.1666667	0.0
44.2083333	0.0
44.25	0.0
44.2916667	13.88889
44.3333333	94.44444
44.375	150.0
44.4166667	291.66667
44.4583333	197.22222
44.5	111.11111
44.5416667	108.33333
44.5833333	122.22222
44.625	36.11111
44.6666667	2.77778
44.7083333	0.0
44.75	0.0
44.7916667	0.0
44.8333333	0.0
44.875	0.0
44.9166667	0.0
44.9583333	0.0
45.0	0.0
45.0416667	0.0
45.0833333	0.0
45.125	0.0
45.1666667	0.0
45.2083333	0.0
45.25	0.0
45.2916667	30.55556
45.3333333	69.44444
45.375	105.55556
45.4166667	144.44444
45.4583333	91.66667
45.5	152.77778
45.5416667	94.44444
45.5833333	61.11111
45.625	30.55556
45.6666667	5.55556
45.7083333	0.0
45.75	0.0
45.7916667	0.0
45.8333333	0.0
45.875	0.0
45.9166667	0.0
45.9583333	0.0
46.0	0.0
46.0416667	0.0
46.0833333	0.0
46.125	0.0
46.1666667	0.0
46.2083333	0.0
46.25	0.0
46.2916667	11.11111
46.3333333	38.88889
46.375	88.88889
46.4166667	255.55556
46.4583333	208.33333
46.5	155.55556
46.5416667	108.33333
46.5833333	102.77778
46.625	61.11111
46.6666667	11.11111
46.7083333	0.0
46.75	0.0
46.7916667	0.0
46.8333333	0.0
46.875	0.0
46.9166667	0.0
46.9583333	0.0
47.0	0.0
47.0416667	0.0
47.0833333	0.0
47.125	0.0
47.1666667	0.0
47.2083333	0.0
47.25	0.0
47.2916667	11.11111
47.3333333	38.88889
47.375	91.66667
47.4166667	61.11111
47.4583333	52.77778
47.5	161.11111
47.5416667	222.22222
47.5833333	219.44444
47.625	50.0
47.6666667	13.88889
47.7083333	0.0
47.75	0.0
47.7916667	0.0
47.8333333	0.0
47.875	0.0
47.9166667	0.0
47.9583333	0.0
48.0	0.0
48.0416667	0.0
48.0833333	0.0
48.125	0.0
48.1666667	0.0
48.2083333	0.0
48.25	0.0
48.2916667	8.33333
48.3333333	55.55556
48.375	191.66667
48.4166667	66.66667
48.4583333	144.44444
48.5	125.0
48.5416667	38.88889
48.5833333	22.22222
48.625	11.11111
48.6666667	2.77778
48.7083333	0.0
48.75	0.0
48.7916667	0.0
48.8333333	0.0
48.875	0.0
48.9166667	0.0
48.9583333	0.0
49.0	0.0
49.0416667	0.0
49.0833333	0.0
49.125	0.0
49.1666667	0.0
49.2083333	0.0
49.25	0.0
49.2916667	13.88889
49.3333333	83.33333
49.375	113.88889
49.4166667	200.0
49.4583333	450.0
49.5	227.77778
49.5416667	325.0
49.5833333	141.66667
49.625	75.0
49.6666667	19.44444
49.7083333	0.0
49.75	0.0
49.7916667	0.0
49.8333333	0.0
49.875	0.0
49.9166667	0.0
49.9583333	0.0
50.0	0.0
50.0416667	0.0
50.0833333	0.0
50.125	0.0
50.1666667	0.0
50.2083333	0.0
50.25	2.77778
50.2916667	30.55556
50.3333333	116.66667
50.375	355.55556
50.4166667	419.44444
50.4583333	452.77778
50.5	336.11111
50.5416667	388.88889
50.5833333	280.55556
50.625	155.55556
50.6666667	30.55556
50.7083333	0.0
50.75	0.0
50.7916667	0.0
50.8333333	0.0
50.875	0.0
50.9166667	0.0
50.9583333	0.0
51.0	0.0
51.0416667	0.0
51.0833333	0.0
51.125	0.0
51.1666667	0.0
51.2083333	0.0
51.25	0.0
51.2916667	30.55556
51.3333333	100.0
51.375	252.77778
51.4166667	377.77778
51.4583333	394.44444
51.5	202.77778
51.5416667	127.77778
51.5833333	83.33333
51.625	97.22222
51.6666667	25.0
51.7083333	0.0
51.75	0.0
51.7916667	0.0
51.8333333	0.0
51.875	0.0
51.9166667	0.0
51.9583333	0.0
52.0	0.0
52.0416667	0.0
52.0833333	0.0
52.125	0.0
52.1666667	0.0
52.2083333	0.0
52.25	0.0
52.2916667	69.44444
52.3333333	202.77778
52.375	286.11111
52.4166667	311.11111
52.4583333	394.44444
52.5	319.44444
52.5416667	250.0
52.5833333	136.11111
52.625	66.66667
52.6666667	22.22222
52.7083333	0.0
52.75	0.0
52.7916667	0.0
52.8333333	0.0
52.875	0.0
52.9166667	0.0
52.9583333	0.0
53.0	0.0
53.0416667	0.0
53.0833333	0.0
53.125	0.0
53.1666667	0.0
53.2083333	0.0
53.25	0.0
53.2916667	13.88889
53.3333333	36.11111
53.375	55.55556
53.4166667	72.22222
53.4583333	94.44444
53.5	127.77778
53.5416667	75.0
53.5833333	80.55556
53.625	38.88889
53.6666667	19.44444
53.7083333	0.0
53.75	0.0
53.7916667	0.0
53.8333333	0.0
53.875	0.0
53.9166667	0.0
53.9583333	0.0
54.0	0.0
54.0416667	0.0
54.0833333	0.0
54.125	0.0
54.1666667	0.0
54.2083333	0.0
54.25	0.0
54.2916667	8.33333
54.3333333	27.77778
54.375	41.66667
54.4166667	47.22222
54.4583333	55.55556
54.5	47.22222
54.5416667	41.66667
54.5833333	30.55556
54.625	16.66667
54.6666667	5.55556
54.7083333	0.0
54.75	0.0
54.7916667	0.0
54.8333333	0.0
54.875	0.0
54.9166667	0.0
54.9583333	0.0
55.0	0.0
55.0416667	0.0
55.0833333	0.0
55.125	0.0
55.1666667	0.0
55.2083333	0.0
55.25	2.77778
55.2916667	55.55556
55.3333333	205.55556
55.375	263.88889
55.4166667	397.22222
55.4583333	419.44444
55.5	194.44444
55.5416667	158.33333
55.5833333	108.33333
55.625	150.0
55.6666667	30.55556
55.7083333	0.0
55.75	0.0
55.7916667	0.0
55.8333333	0.0
55.875	0.0
55.9166667	0.0
55.9583333	0.0
56.0	0.0
56.0416667	0.0
56.0833333	0.0
56.125	0.0
56.1666667	0.0
56.2083333	0.0
56.25	0.0
56.2916667	16.66667
56.3333333	38.88889
56.375	83.33333
56.4166667	113.88889
56.4583333	205.55556
56.5	233.33333
56.5416667	291.66667
56.5833333	119.44444
56.625	75.0
56.6666667	13.88889
56.7083333	0.0
56.75	0.0
56.7916667	0.0
56.8333333	0.0
56.875	0.0
56.9166667	0.0
56.9583333	0.0
57.0	0.0
57.0416667	0.0
57.0833333	0.0
57.125	0.0
57.1666667	0.0
57.2083333	0.0
57.25	2.77778
57.2916667	38.88889
57.3333333	125.0
57.375	213.88889
57.4166667	363.88889
57.4583333	325.0
57.5	286.11111
57.5416667	127.77778
57.5833333	52.77778
57.625	19.44444
57.6666667	5.55556
57.7083333	0.0
57.75	0.0
57.7916667	0.0
57.8333333	0.0
57.875	0.0
57.9166667	0.0
57.9583333	0.0
58.0	0.0
58.0416667	0.0
58.0833333	0.0
58.125	0.0
58.1666667	0.0
58.2083333	0.0
58.25	0.0
58.2916667	16.66667
58.3333333	41.66667
58.375	61.11111
58.4166667	63.88889
58.4583333	69.44444
58.5	66.66667
58.5416667	50.0
58.5833333	33.33333
58.625	19.44444
58.6666667	5.55556
58.7083333	0.0
58.75	0.0
58.7916667	0.0
58.8333333	0.0
58.875	0.0
58.9166667	0.0
58.9583333	0.0
59.0	0.0
59.0416667	0.0
59.0833333	0.0
59.125	0.0
59.1666667	0.0
59.2083333	0.0
59.25	0.0
59.2916667	13.88889
59.3333333	41.66667
59.375	66.66667
59.4166667	86.11111
59.4583333	108.33333
59.5	119.44444
59.5416667	188.88889
59.5833333	111.11111
59.625	58.33333
59.6666667	13.88889
59.7083333	0.0
59.75	0.0
59.7916667	0.0
