#.t	.River_1.Q	.River_1.d	.River_1.vel_water	.River_2.Q	.River_2.d	.River_2.vel_water	.River_3.Q	.River_3.d	.River_3.vel_water	.River_4.Q	.River_4.d	.River_4.vel_water	.River_5.Q	.River_5.d	.River_5.vel_water
#d	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s
122.24	0.71493223	0.41311022	0.16955857	0.7132993	0.41253602	0.16941152	0.71105103	0.41174463	0.1692087	0.7092627	0.41111445	0.16904707	0.70864265	0.41089581	0.16899097
122.25	0.71495947	0.41311979	0.16956103	0.7134832	0.41260072	0.1694281	0.71131166	0.41183642	0.16923223	0.70947571	0.41118954	0.16906634	0.70872258	0.410924	0.16899821
122.26	0.71492184	0.41310656	0.16955764	0.71365021	0.41265946	0.16944314	0.71156411	0.41192532	0.16925502	0.70969345	0.4112663	0.16908603	0.70881628	0.41095705	0.16900668
122.27	0.71475933	0.41304944	0.16954301	0.71378222	0.41270589	0.16945504	0.71180322	0.41200951	0.1692766	0.70991483	0.41134432	0.16910604	0.70892639	0.41099587	0.16901665
122.28	0.71461475	0.41299862	0.16953	0.71387848	0.41273974	0.16946371	0.71202832	0.41208876	0.16929692	0.71013751	0.4114228	0.16912617	0.70904893	0.41103908	0.16902773
122.29	0.71448576	0.41295327	0.16951839	0.713958	0.41276771	0.16947087	0.71224021	0.41216335	0.16931603	0.71035968	0.41150108	0.16914625	0.70918166	0.41108588	0.16903974
122.3	0.71495039	0.4131166	0.16956021	0.71403762	0.41279571	0.16947804	0.712435	0.41223191	0.1693336	0.71057965	0.41157858	0.16916612	0.70932492	0.41113639	0.1690527
122.31	0.71552436	0.4133183	0.16961184	0.71417418	0.41284372	0.16949034	0.71262035	0.41229713	0.16935032	0.71079612	0.41165484	0.16918568	0.70947674	0.41118991	0.16906643
122.32	0.71603316	0.41349705	0.16965759	0.71435901	0.41290871	0.16950698	0.71280227	0.41236115	0.16936672	0.71100822	0.41172955	0.16920484	0.70963586	0.411246	0.16908082
122.33	0.7164944	0.41365905	0.16969905	0.71456619	0.41298155	0.16952563	0.71298746	0.41242631	0.16938342	0.71121889	0.41180375	0.16922386	0.70979949	0.41130367	0.16909562
122.34	0.71800885	0.41419068	0.16983504	0.71484322	0.41307893	0.16955056	0.71317775	0.41249326	0.16940057	0.71142612	0.41187673	0.16924257	0.70996885	0.41136336	0.16911093
122.35	0.71993052	0.41486464	0.17000733	0.71531169	0.41324357	0.16959271	0.71338794	0.41256721	0.16941951	0.71163228	0.41194932	0.16926118	0.7101424	0.41142452	0.16912661
122.36	0.72163863	0.41546312	0.17016022	0.71592649	0.41345958	0.169648	0.7136359	0.41265443	0.16944185	0.71184113	0.41202286	0.16928003	0.7103197	0.411487	0.16914264
122.37	0.72316166	0.4159963	0.17029635	0.71665018	0.41371376	0.16971304	0.71392999	0.41275786	0.16946835	0.71205669	0.41209874	0.16929948	0.71050072	0.41155078	0.16915899
122.38	0.72213514	0.41563697	0.17020461	0.71738533	0.41397186	0.16977907	0.71427488	0.41287913	0.1694994	0.71228407	0.41217878	0.16931999	0.71068632	0.41161617	0.16917576
