#.t	.River_1.C(rBOD1)	.River_1.C(rBOD1p)	.River_1.C(rBOD2)	.River_1.C(rBOD2p)	.River_1.C(rBODs)	.River_1.DO	.River_2.C(rBOD1)	.River_2.C(rBOD1p)	.River_2.C(rBOD2)	.River_2.C(rBOD2p)	.River_2.C(rBODs)	.River_2.DO	.River_3.C(rBOD1)	.River_3.C(rBOD1p)	.River_3.C(rBOD2)	.River_3.C(rBOD2p)	.River_3.C(rBODs)	.River_3.DO	.River_4.C(rBOD1)	.River_4.C(rBOD1p)	.River_4.C(rBOD2)	.River_4.C(rBOD2p)	.River_4.C(rBODs)	.River_4.DO	.River_5.C(rBOD1)	.River_5.C(rBOD1p)	.River_5.C(rBOD2)	.River_5.C(rBOD2p)	.River_5.C(rBODs)	.River_5.DO	.Urban_InputEmulator.Outflow(rBOD1)	.Urban_InputEmulator.Outflow(rBOD1p)	.Urban_InputEmulator.Outflow(rBOD2)	.Urban_InputEmulator.Outflow(rBOD2p)
#d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/d	g/d	g/d	g/d
121.42	2.9016086	0.00787593	0.97520408	0.0025540556	0.18132405	8.3837892	2.8121907	0.0060146162	0.95282719	0.00064740452	9.8960898	7.8886966	2.7340446	0.0043266227	0.93624299	0.0001620526	3.4523155	7.9206121	2.6753321	0.0028649357	0.93888885	3.9602475e-005	1.1465741	8.0966463	2.6587349	0.0017305654	0.99539637	9.33276e-006	0.41146005	8.2808928	0	0	0	0
121.43	2.9014245	0.0078817233	0.97515707	0.0025546649	0.18139839	8.4007303	2.8116603	0.0060357732	0.95266765	0.00064815802	9.8192223	7.9183953	2.7328942	0.0043664381	0.93569833	0.0001624413	3.4228923	7.9562853	2.6728832	0.0029156037	0.93694677	3.9795743e-005	1.1358098	8.1345725	2.6532411	0.0017786915	0.98948533	9.4159598e-006	0.40739357	8.3199592	0	0	0	0
121.44	2.9012329	0.0078869823	0.97510816	0.0025551312	0.18147531	8.4162283	2.8111336	0.0060555431	0.95251065	0.00064882995	9.7431455	7.9467543	2.7317678	0.0044043236	0.93517522	0.0001628153	3.3938803	7.9907196	2.6705089	0.0029646764	0.93509681	3.9982136e-005	1.125211	8.1713103	2.6479463	0.0018261833	0.98384155	9.4962283e-006	0.40337485	8.3578054	0	0	0	0
121.45	2.9010344	0.007891743	0.97505753	0.0025554897	0.18155394	8.4303463	2.8106099	0.0060739835	0.95235591	0.0006494272	9.6678553	7.9738191	2.730664	0.0044403392	0.93467255	0.00016316933	3.3652679	8.0239543	2.6682063	0.0030121663	0.93333494	4.0161588e-005	1.1147734	8.2069029	2.6428434	0.0018729974	0.9784554	9.5736297e-006	0.39940446	8.3944793	0	0	0	0
121.46	2.9008291	0.0078960645	0.97500519	0.0025556336	0.18163657	8.4435313	2.8100893	0.0060913058	0.95220323	0.00064995733	9.5932158	7.999743	2.7295804	0.0044747155	0.93418744	0.00016351342	3.3369995	8.0561419	2.6659657	0.003058209	0.93164885	4.0334391e-005	1.1044812	8.2415071	2.6379074	0.0019191504	0.97329311	9.6486548e-006	0.39547937	8.4301486	0	0	0	0
121.47	2.9005387	0.007898138	0.9749314	0.0025502826	0.18185559	8.4545585	2.8095623	0.0061068925	0.95205067	0.00065009459	9.5201053	8.0229889	2.7285224	0.0045068056	0.93372578	0.00016380548	3.3092289	8.0857668	2.66381	0.003102208	0.93006618	4.0497513e-005	1.0943892	8.2736178	2.6332013	0.0019642955	0.96843916	9.7203538e-006	0.39161928	8.4632836	0	0	0	0
121.48	2.9002594	0.0079001251	0.97486042	0.0025465036	0.18204844	8.4633576	2.8090276	0.006121198	0.95189738	0.00064984506	9.4482944	8.0436632	2.7274821	0.0045372092	0.93328043	0.00016405998	3.2818405	8.1128524	2.6617153	0.0031446199	0.92855706	4.0650565e-005	1.084451	8.3032383	2.6286622	0.0020085676	0.96380828	9.7890412e-006	0.38781153	8.4939001	0	0	0	0
121.49	2.899986	0.0079018738	0.97479093	0.0025437983	0.18222344	8.4696814	2.8084852	0.0061340717	0.95174344	0.00064933607	9.3778831	8.0613937	2.7264599	0.0045656748	0.93285295	0.00016423317	3.2549105	8.1370359	2.659689	0.0031852292	0.9271304	4.0790422e-005	1.0746854	8.3300202	2.6243107	0.0020518364	0.95942824	9.8545839e-006	0.38406316	8.52165	0	0	0	0
121.5	2.899706	0.0079032466	0.97471978	0.0025408931	0.18240462	8.4744469	2.807939	0.0061460036	0.95158946	0.00064873339	9.3083391	8.0770754	2.7254497	0.0045927753	0.93243747	0.00016435286	3.2283134	8.159163	2.6577099	0.0032245263	0.92576027	4.091872e-005	1.0650449	8.354792	2.6200897	0.0020943257	0.95522225	9.917469e-006	0.38035888	8.5473787	0	0	0	0
121.51	2.8993132	0.0079018984	0.97462017	0.0025304726	0.18277397	8.4778893	2.8073778	0.0061565028	0.95143285	0.00064763856	9.2405527	8.0901441	2.7244537	0.0046180361	0.93203725	0.00016439182	3.2021832	8.1786304	2.6557925	0.0032620212	0.92446407	4.1028961e-005	1.055576	8.3769666	2.6160416	0.0021356925	0.95124637	9.976297e-006	0.376716	8.5705066	0	0	0	0
