#.t	.River_1.Q	.River_1.d	.River_1.vel_water	.River_2.Q	.River_2.d	.River_2.vel_water	.River_3.Q	.River_3.d	.River_3.vel_water	.River_4.Q	.River_4.d	.River_4.vel_water	.River_5.Q	.River_5.d	.River_5.vel_water
#d	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s
1.22	2.8300332	0.9583756	0.28179126	2.7532501	0.94229273	0.27903934	2.7862282	0.94922098	0.28022794	2.8424826	0.96096836	0.28223268	2.8107815	0.95435922	0.28110644
1.23	2.8570586	0.96399765	0.28274745	2.7688463	0.94557308	0.27960268	2.7819113	0.94831586	0.28007293	2.8323358	0.95885598	0.28187317	2.8153284	0.95530892	0.28126853
1.24	2.879394	0.96862875	0.28353281	2.7860168	0.94917634	0.28022025	2.7812237	0.94817163	0.28004823	2.8235629	0.95702728	0.28156159	2.8174274	0.95574713	0.2813433
1.25	2.8990325	0.97268987	0.28421989	2.80378	0.95289572	0.28085648	2.7835217	0.94865358	0.28013078	2.8163776	0.95552798	0.28130591	2.8178579	0.95583699	0.28135863
1.26	2.9265874	0.97837023	0.28517826	2.8227066	0.95684866	0.28153114	2.7886592	0.9497305	0.28031518	2.8111324	0.95443257	0.28111896	2.8171092	0.9556807	0.28133197
1.27	2.9497235	0.98312398	0.28597796	2.8427185	0.96101722	0.28224095	2.796278	0.95132611	0.28058817	2.8079542	0.95376844	0.28100556	2.8157594	0.95539891	0.28128389
1.28	2.9687942	0.98703181	0.28663377	2.8629555	0.96522119	0.28295507	2.8061471	0.95339046	0.28094097	2.8068847	0.9535449	0.28096739	2.8142954	0.95509322	0.28123173
1.29	2.9849123	0.99032807	0.28718597	2.8828115	0.96933646	0.28365269	2.8175979	0.95578268	0.28134936	2.8076237	0.95369937	0.28099377	2.8130219	0.95482726	0.28118634
1.3	3.0085578	0.99515087	0.28799198	2.9024486	0.97339526	0.28433908	2.8305422	0.95848232	0.28180954	2.8104528	0.95429058	0.28109472	2.8123172	0.95468008	0.28116121
1.31	3.0324932	1.0000181	0.28880325	2.9231413	0.97766083	0.28505872	2.8447609	0.96144225	0.28231326	2.8151847	0.9552789	0.28126341	2.8124012	0.95469761	0.28116421
1.32	3.052215	1.0040177	0.28946829	2.9440034	0.98194969	0.28578056	2.8602104	0.96465202	0.28285855	2.8216855	0.95663564	0.28149482	2.8134588	0.95491851	0.28120191
1.33	3.0687065	1.0073552	0.2900222	2.9644446	0.98614173	0.28648457	2.87653	0.96803596	0.28343244	2.8297169	0.95831032	0.28178024	2.8155053	0.95534587	0.28127484
1.34	3.0905259	1.0117603	0.29075169	2.9843939	0.99022215	0.28716824	2.893532	0.97155357	0.28402782	2.8392678	0.96029946	0.28211889	2.8187851	0.95603052	0.28139164
1.35	3.1135213	1.0163899	0.2915165	3.0051781	0.99446221	0.28787699	2.9111644	0.97519323	0.28464261	2.8502168	0.96257663	0.28250611	2.8232803	0.95696837	0.28155156
1.36	3.1325788	1.0202173	0.29214736	3.0259958	0.99869825	0.28858346	2.929392	0.97894717	0.28527542	2.8623639	0.96509919	0.28293448	2.8289839	0.95815755	0.28175421
1.37	3.1483717	1.0233824	0.29266807	3.046219	1.0028028	0.28926644	2.948052	0.98278103	0.28592034	2.8756301	0.96784952	0.28340084	2.8359099	0.95960038	0.28199991
1.38	3.1632329	1.0263553	0.29315636	3.0655742	1.0067218	0.28991713	2.9669389	0.98665239	0.2865702	2.8898624	0.97079493	0.2838995	2.8440112	0.96128639	0.28228677
