#.t	.River_1.Q	.River_1.d	.River_1.vel_water	.River_2.Q	.River_2.d	.River_2.vel_water	.River_3.Q	.River_3.d	.River_3.vel_water	.River_4.Q	.River_4.d	.River_4.vel_water	.River_5.Q	.River_5.d	.River_5.vel_water
#d	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s
122.17	0.71435742	0.41290815	0.16950683	0.71150878	0.41190584	0.16925003	0.70917409	0.41108321	0.16903906	0.70815455	0.41072365	0.16894679	0.70865378	0.41089974	0.16899198
122.18	0.71453964	0.41297222	0.16952324	0.71184165	0.41202304	0.16928007	0.70945174	0.4111811	0.16906417	0.70828051	0.41076808	0.16895819	0.70860239	0.41088162	0.16898733
122.19	0.71458493	0.41298814	0.16952732	0.71214326	0.41212922	0.16930729	0.70973423	0.41128067	0.16908971	0.70842721	0.41081983	0.16897147	0.70857584	0.41087225	0.16898492
122.2	0.71463043	0.41300413	0.16953141	0.71241268	0.41222405	0.16933159	0.71001673	0.41138023	0.16911525	0.70858828	0.41087664	0.16898605	0.70856827	0.41086958	0.16898424
122.21	0.71468615	0.41302372	0.16953643	0.71265937	0.41231086	0.16935384	0.71029677	0.41147891	0.16914056	0.70876489	0.41093892	0.16900203	0.70858372	0.41087503	0.16898564
122.22	0.71475474	0.41304783	0.1695426	0.71289395	0.41239341	0.16937499	0.71057348	0.41157641	0.16916557	0.70894961	0.41100406	0.16901875	0.70861265	0.41088523	0.16898826
122.23	0.71484216	0.41307856	0.16955047	0.71310658	0.41246822	0.16939415	0.71084377	0.41167163	0.16918998	0.70914463	0.41107282	0.16903639	0.7086597	0.41090182	0.16899251
122.24	0.7149133	0.41310356	0.16955687	0.71330193	0.41253695	0.16941176	0.71110506	0.41176366	0.16921358	0.70934911	0.41114491	0.16905489	0.70872742	0.41092571	0.16899864
122.25	0.71493632	0.41311165	0.16955894	0.71348306	0.41260066	0.16942808	0.71135952	0.41185328	0.16923656	0.70955829	0.41121866	0.16907381	0.70880776	0.41095404	0.16900591
122.26	0.71489965	0.41309877	0.16955564	0.71364905	0.41265905	0.16944304	0.71160691	0.41194039	0.16925889	0.70977168	0.41129387	0.1690931	0.70890034	0.41098669	0.16901429
122.27	0.71473439	0.41304067	0.16954077	0.71377739	0.41270419	0.1694546	0.71184047	0.41202263	0.16927997	0.7099889	0.41137043	0.16911274	0.70901004	0.41102537	0.16902422
122.28	0.7145926	0.41299083	0.16952801	0.71387134	0.41273723	0.16946306	0.71206082	0.4121002	0.16929985	0.71020724	0.41144737	0.16913247	0.70913115	0.41106807	0.16903517
122.29	0.71447417	0.4129492	0.16951735	0.71395025	0.41276498	0.16947017	0.71226829	0.41217323	0.16931857	0.71042501	0.4115241	0.16915215	0.70926229	0.41111431	0.16904704
122.3	0.71496031	0.41312008	0.1695611	0.71403096	0.41279336	0.16947744	0.71245903	0.41224036	0.16933577	0.71064061	0.41160006	0.16917163	0.70940363	0.41116414	0.16905982
122.31	0.71553297	0.41332133	0.16961262	0.71416948	0.41284207	0.16948991	0.71264105	0.41230442	0.16935218	0.71085277	0.4116748	0.1691908	0.70955326	0.41121688	0.16907335
122.32	0.71604074	0.41349972	0.16965827	0.71435572	0.41290755	0.16950668	0.71282029	0.4123675	0.16936835	0.71106069	0.41174804	0.16920957	0.70970993	0.4112721	0.16908752
122.33	0.71650131	0.41366148	0.16969967	0.71456384	0.41298072	0.16952542	0.71300315	0.41243183	0.16938483	0.71126742	0.41182084	0.16922824	0.70987094	0.41132886	0.16910208
122.34	0.71807165	0.4142127	0.16984067	0.71485677	0.41308369	0.16955178	0.71319125	0.41249801	0.16940179	0.71147071	0.41189243	0.16924659	0.71003768	0.41138762	0.16911715
122.35	0.71998747	0.4148846	0.17001242	0.71532295	0.41324753	0.16959373	0.71340127	0.41257189	0.16942071	0.71167352	0.41196385	0.1692649	0.7102083	0.41144774	0.16913257
122.36	0.72169482	0.41548281	0.17016525	0.71593955	0.41346417	0.16964918	0.71364774	0.41265859	0.16944292	0.7118789	0.41203615	0.16928343	0.71038256	0.41150915	0.16914832
122.37	0.72320808	0.41601255	0.17030049	0.71666962	0.41372059	0.16971479	0.71394295	0.41276242	0.16946951	0.71209185	0.41211112	0.16930265	0.71056079	0.41157194	0.16916442
122.38	0.72219546	0.4156581	0.17021	0.71740879	0.41398009	0.16978118	0.71428873	0.412884	0.16950065	0.71231685	0.41219032	0.16932295	0.71074347	0.4116363	0.16918092
